Cliente,Estado,Sexo,Duracao,HistoricoCredito,Proposito,Valor,Investimento,Emprego,TempoParcelamento,EstadoCivil,Fiador,ResidenciaDesde,Idade,OutrosFinanciamentos,Habitacao,EmprestimoExistente,Profissao,Dependentes,SocioEmpresa,Estrangeiro,Status
Adelina Buenaventura,RJ,M,2,Adelina Buenaventura,moveis,1,5951,>=7,3.0,maculino div/dep,co aplicante,3,2.0,22,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Adelino Gago,RJ,M,3,Adelino Gago,educacao,2,2096,>=7,4.0,maculino div/dep,sim,3,3.0,49,alugada,1.0,altamente qualificado/empresario,3,2,0,leal
Adélio Lisboa,SE,M,4,Adélio Lisboa,moveis,3,7882,>=7,4.0,maculino div/dep,sim,4,4.0,45,alugada,2.0,altamente qualificado/empresario,4,2,0,leal
Adérito Bahía,MA,M,5,Adérito Bahía,veiculo novo,4,4870,>=7,3.0,masculino cas/viu,sim,3,4.0,53,alugada,2.0,desempregado,4,2,0,leal
Adolfo Patrício,PE,M,6,Adolfo Patrício,moveis,2,9055,<1,3.0,maculino div/dep,sim,3,4.0,35,alugada,2.0,altamente qualificado/empresario,3,2,1,leal
Adriana Guedelha,RO,F,7,Adriana Guedelha,moveis,3,2835,1<=X<4,2.0,masculino cas/viu,sim,3,4.0,53,alugada,1.0,altamente qualificado/empresario,4,1,0,leal
Aida Dorneles,RN,F,9,Aida Dorneles,moveis,1,3059,4<=X<7,4.0,maculino div/dep,co requerente,3,4.0,61,alugada,1.0,altamente qualificado/empresario,3,1,0,leal
Alarico Quinterno,AC,M,11,Alarico Quinterno,moveis,4,1295,>=7,1.0,masculino cas/viu,co aplicante,3,1.0,25,alugada,3.0,altamente qualificado/empresario,4,1,0,leal
Alberto Cezimbra,AM,M,13,Alberto Cezimbra,moveis,1,1567,>=7,3.0,feminino div/dep/cas,co aplicante,3,1.0,22,alugada,1.0,altamente qualificado/empresario,4,1,1,leal
Alberto Monsanto,RN,M,14,Alberto Monsanto,educacao,4,1199,>=7,2.0,masculino solteiro,sim,3,4.0,60,alugada,1.0,desempregado,3,1,0,leal
Albino Canela,AC,M,16,Albino Canela,moveis,1,1282,Desempregado,3.0,masculino solteiro,co aplicante,3,2.0,32,alugada,1.0,altamente qualificado/empresario,3,1,0,leal
Alceste Varanda,RR,F,17,Alceste Varanda,educacao,1,2424,<1,2.0,masculino solteiro,sim,3,4.0,53,alugada,1.0,desempregado,4,1,0,leal
